Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6399997,9.0,15.093097913322632,-0.2628951,-0.9072347177953198,-0.9072347177953198,0.18487264,0.07033879,0.0002999692,1.0
20000,0.41415673,None,37.27734375,-0.71851933,-0.8972762543925515,-0.8972762543925515,0.019925924,0.0775226,0.00029991352,1.0
30000,0.21319744,None,62.97902097902098,-0.64829016,-0.9195804108793919,-0.9195804108793919,0.0152918715,0.06703417,0.000299851,1.0
40000,0.13153921,None,124.0886075949367,-0.5195073,-0.8227847989035558,-0.8227847989035558,0.015527302,0.06753753,0.00029978814,1.0
50000,0.10003255,None,147.73846153846154,-0.41786435,-0.828124986612238,-0.828124986612238,0.017073011,0.068170965,0.00029972527,1.0
60000,0.0888735,None,157.98360655737704,-0.3881255,-0.819672122353413,-0.819672122353413,0.018742772,0.06601904,0.000299669,1.0
70000,0.08612733,12.0,175.1851851851852,-0.3316038,-0.7836363499814814,-0.7836363499814814,0.018059837,0.06239594,0.00029961247,1.0
80000,0.08573096,None,144.72368421052633,-0.37909606,-0.8486842003307844,-0.8486842003307844,0.021639008,0.06298165,0.00029954995,1.0
90000,0.088557854,None,132.83098591549296,-0.4100667,-0.8657142774334976,-0.8657142774334976,0.019211447,0.07058331,0.00029948697,1.0
100000,0.086792335,None,180.60714285714286,-0.37476748,-0.7807017420990425,-0.7807017420990425,0.01825449,0.065218985,0.00029943034,1.0
110000,0.08439065,None,149.18840579710144,-0.36477852,-0.824637670447861,-0.824637670447861,0.02043177,0.07236801,0.00029937387,1.0
120000,0.08363207,None,134.6231884057971,-0.38104552,-0.8565217291099437,-0.8565217291099437,0.02055474,0.06486976,0.0002993115,1.0
130000,0.07677469,None,151.53968253968253,-0.36823,-0.8317460203691135,-0.8317460203691135,0.017938428,0.07043975,0.00029924937,1.0
140000,0.078752,None,161.4516129032258,-0.36232814,-0.8161290214667397,-0.8161290214667397,0.019637404,0.07165949,0.000299187,1.0
150000,0.08354955,13.0,189.0185185185185,-0.30878285,-0.724074057544823,-0.724074057544823,0.019073237,0.06650067,0.00029913057,1.0
