Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,0.6348564,14.423913043478262,-0.36465994,-0.9122670713048544,-0.9122670713048544,12.0,0.13034512,0.06305399,0.0002999691,1.0
20000,0.39165694,36.2593984962406,-0.74947584,-0.9128301781584631,-0.9128301781584631,None,0.016420763,0.06673436,0.00029991288,1.0
30000,0.20080031,71.86923076923077,-0.6483424,-0.9146153764655957,-0.9146153764655957,None,0.014506389,0.068490095,0.00029985092,1.0
40000,0.09282467,105.0989010989011,-0.5631798,-0.9219780159848077,-0.9219780159848077,None,0.013357651,0.071667954,0.00029978857,1.0
50000,0.058608085,120.375,-0.54199684,-0.9320987594532378,-0.9320987594532378,None,0.0117338,0.07187276,0.00029973162,1.0
60000,0.051956445,166.24074074074073,-0.46950027,-0.9037735800979272,-0.9037735800979272,None,0.013742839,0.0702126,0.00029967463,1.0
70000,0.048591726,223.375,-0.37927687,-0.8183673399747634,-0.8183673399747634,None,0.0152603,0.07045306,0.00029961223,1.0
80000,0.04418652,184.64102564102564,-0.3337362,-0.8564102473931435,-0.8564102473931435,None,0.014388855,0.06447464,0.0002995493,1.0
90000,0.03753267,287.68,-0.24115658,-0.74799998909235,-0.74799998909235,15.0,0.011709949,0.070532136,0.000299487,1.0
100000,0.037200365,629.6923076923077,-0.14186473,-0.3384615217263882,-0.3384615217263882,22.0,0.0054901727,0.06696598,0.00029943069,1.0
110000,0.034787238,695.6923076923077,-0.081732236,-0.19230766995595053,-0.19230766995595053,26.0,0.010827534,0.06794329,0.00029937498,1.0
120000,0.03666318,1146.5,-0.033705644,0.3250000337138772,0.3250000337138772,30.0,0.0054253517,0.065364294,0.000299312,1.0
130000,0.03297048,719.3076923076923,-0.0132761225,-0.19230767167531526,-0.19230767167531526,None,0.009172995,0.07063372,0.00029924954,1.0
140000,0.033957534,880.4545454545455,0.0014226382,2.302906729958274e-08,2.302906729958274e-08,None,0.0069087036,0.06874818,0.00029918668,1.0
150000,0.036861572,694.8,0.009911217,-0.289999982714653,-0.289999982714653,36.0,0.008150554,0.06574184,0.00029913045,1.0
160000,0.031354632,948.0,0.011336913,0.05000002682209015,0.05000002682209015,42.0,0.0032608535,0.06833915,0.0002990737,1.0
